,id,screen_name,date,followers_count
0,222825239,canokar,2011-10-07,224
2,222825239,canokar,2012-01-03,303
3,222825239,canokar,2012-01-08,305
4,222825239,canokar,2012-01-19,323
5,222825239,canokar,2012-01-25,326
6,222825239,canokar,2012-01-28,327
7,222825239,canokar,2012-01-30,326
8,222825239,canokar,2012-01-30,326
9,222825239,canokar,2012-02-15,338
10,222825239,canokar,2012-03-29,351
11,222825239,canokar,2012-03-29,351
12,222825239,canokar,2012-03-30,351
13,222825239,canokar,2012-04-15,357
14,222825239,canokar,2012-04-16,357
15,222825239,canokar,2012-05-19,371
16,222825239,canokar,2012-05-21,371
17,222825239,canokar,2012-06-14,381
18,222825239,canokar,2012-07-11,381
19,222825239,canokar,2012-08-20,389
20,222825239,canokar,2012-10-01,398
21,222825239,canokar,2012-10-30,406
23,222825239,canokar,2012-11-07,410
24,222825239,canokar,2012-11-09,409
25,222825239,canokar,2012-11-15,411
27,222825239,canokar,2012-11-20,416
28,222825239,canokar,2012-12-21,424
29,222825239,canokar,2013-01-01,465
30,222825239,canokar,2013-01-03,479
31,222825239,canokar,2013-02-06,491
32,222825239,canokar,2013-05-16,503
33,222825239,canokar,2013-06-12,529
34,222825239,canokar,2013-06-15,537
35,222825239,canokar,2013-08-02,569
36,222825239,canokar,2013-08-03,569
37,222825239,canokar,2013-08-04,570
38,222825239,canokar,2013-08-05,570
39,222825239,canokar,2013-08-09,574
40,222825239,canokar,2013-08-17,575
41,222825239,canokar,2013-08-18,575
42,222825239,canokar,2013-08-25,576
43,222825239,canokar,2013-08-31,582
44,222825239,canokar,2013-09-07,592
45,222825239,canokar,2013-11-01,610
46,222825239,canokar,2013-11-01,610
47,222825239,canokar,2013-11-04,609
48,222825239,canokar,2013-11-29,614
49,222825239,canokar,2013-12-07,616
50,222825239,canokar,2013-12-22,627
51,222825239,canokar,2013-12-31,643
52,222825239,canokar,2014-02-08,669
54,222825239,canokar,2014-03-01,678
55,222825239,canokar,2014-03-05,680
56,222825239,canokar,2014-03-05,690
57,222825239,canokar,2014-03-23,712
62,222825239,canokar,2014-04-12,754
64,222825239,canokar,2014-06-11,775
65,222825239,canokar,2014-07-04,776
67,222825239,canokar,2014-08-12,782
69,222825239,canokar,2014-11-12,792
